t,X,Y,yaw,vx,vyaw,P_yaw
0.0,0.0,0.0,0.0,-2.230311403499673e-05,-1.8043552111811723e-05,1e-06
0.0,0.0,0.0,0.0,-2.230311403499673e-05,0.00010556663429724233,1e-06
0.01,-4.1068015882039933e-07,0.0,1.1261697082734787e-06,-0.004969953735902181,0.001546323862500226,6.00009826144923e-06
0.02,-4.456764876959664e-05,-4.7132042965670324e-11,5.7647617912733505e-06,0.0031254996744763857,-0.0008483623796606496,1.1014434354492849e-05
0.02,-4.4567648769582824e-05,-5.940341719155039e-11,5.646871820327696e-05,0.0031254996744763857,0.010368638228332316,1.1010229661842539e-05
0.03,-1.2889510390971342e-05,1.570109428199672e-09,0.000143809464090034,0.003703578794612864,0.004849112630855471,1.601949565067006e-05
0.04,1.4389526173885062e-05,5.6934472239764235e-09,0.0002054122005758703,-0.009566647484998985,0.006896587839796277,2.1045558667187963e-05
0.04,1.438952616490467e-05,5.764811628670353e-09,0.00021210190333460468,-0.009566647484998985,0.007941234558886838,2.1036508647763052e-05
0.05,-7.510941246716675e-05,-1.4320011932728467e-08,0.000323774391923496,-0.0011806869801507438,0.017496891469503402,2.6047689255037813e-05
0.06,-8.603499230480013e-05,-1.7347444201296304e-08,0.000453208937653129,1.7572398879851445e-05,0.010613082178985794,3.1075085915889335e-05
0.06,-8.603499210306022e-05,-1.8156363654117488e-08,0.0005244482306901385,1.7572398879851445e-05,0.021382918643189315,3.106542284056732e-05
0.07,-8.894297099850739e-05,-1.9508275886948217e-08,0.0007092736296761882,-0.004175228016513312,0.012901664110357444,3.60768067678909e-05
0.08,-0.00012531241289646966,-4.567748810766035e-08,0.0008637611372688376,0.003143610155961731,0.016739723599307824,4.1104339734878804e-05
0.08,-0.00012531241286709076,-4.5721696343926366e-08,0.000867515904389978,0.003143610155961731,0.01730550802538036,4.109461311984646e-05
0.09,-9.651933404042736e-05,-2.063025970571407e-08,0.0010510069418819983,-0.0004499975773362163,0.02035319777148003,4.6106017826602115e-05
0.1,-0.00010153995285074039,-2.6014837008252846e-08,0.001119888190244599,-0.001157901023919015,7.020147111724828e-05,5.11335646724766e-05
0.1,-0.00010153995286514896,-2.599892753331539e-08,0.001138542980724125,-0.001157901023919015,0.00288024972039607,5.1123831578332824e-05
