t,X,Y,yaw
0.43,0.0001374641625547928,-9.865038528820736e-08,4.560213506505127e-05
0.44,9.780270384137385e-05,-1.0045903248658738e-07,-0.000267684827402634
0.45,7.343505088293898e-05,-9.393618135440279e-08,-0.0005217399181334612
0.46,0.00012156020195395643,-1.1904499601266734e-07,-0.0005659287669162742
0.47,0.00014422736998169204,-1.3187299983358567e-07,-0.0005084737736530325
0.48,0.00016876855313816452,-1.4435154891849206e-07,-0.0006292485130823776
0.49,0.00013561288262693065,-1.2348838979543388e-07,-0.0008785938146833488
0.5,0.00016878767016202393,-1.526355604270317e-07,-0.0007785345296122747
0.51,0.00015014494501494147,-1.3812155224156587e-07,-0.0011672527952706312
0.52,0.0001407765261479035,-1.2718623416536848e-07,-0.0006193369610926047
0.53,0.00022050281899075534,-1.765636804072114e-07,4.607532578030293e-05
0.54,0.00021723802854215082,-1.7671410669084173e-07,0.0002213392927899371
0.55,0.0002154859713915514,-1.7710190578781586e-07,0.0004772714387774933
0.56,0.00019135847909594757,-1.886172696241856e-07,0.0004316727885064043
0.5700000000000001,0.00018145391771841454,-1.9289279951852752e-07,-0.0002605571789521693
0.58,0.00013531804533066424,-1.8087176648864185e-07,-0.00020545118233621784
0.59,0.00013140309046164573,-1.8006743437069206e-07,-0.0006371423707357973
0.6,3.30752078354437e-05,-1.174185656473578e-07,-0.0005877428797704432
0.61,7.666401021285083e-05,-1.4303757683235809e-07,-0.00015687450039635076
0.62,9.03492772019843e-05,-1.4518444627168027e-07,-0.00013381323050390675
0.63,0.00012069423176515325,-1.4924500269550825e-07,-0.00017706976754740077
0.64,0.00013332984962526154,-1.5148238863619886e-07,-0.00039075020690810093
0.65,0.00015282268136939688,-1.5909921706110488e-07,-0.0005931144981395852
0.66,0.00017216941008885178,-1.7057404370174366e-07,-0.00031806266731049395
0.67,0.00015662830037754913,-1.6563099672731582e-07,-0.00022800060459863286
0.68,0.00020025464826878509,-1.7557783059530757e-07,-0.00029654637449940394
0.6900000000000001,0.00018808698956549654,-1.7196955541493095e-07,-0.0002975307345349967
0.7000000000000001,0.0001372610739190509,-1.5684728295299946e-07,-0.0001020119496179915
0.71,5.745829440621507e-05,-1.4870644580172132e-07,-0.0001593202443490339
0.72,-3.355996915868543e-05,-1.342053936876435e-07,-0.0003809694028788781
0.73,-2.6158413752574766e-05,-1.3702515996750254e-07,-0.0005398759020803262
0.74,-1.9909082276914664e-05,-1.4039902376311238e-07,-0.0005578728389872153
0.75,-3.862180895635521e-05,-1.2995970072227837e-07,-0.0009718541983629586
0.76,-5.312739968292208e-05,-1.1586237703661913e-07,-0.0008895910122142025
0.77,-4.6458044463979e-05,-1.2179537706172523e-07,-0.0009115375769999636
0.78,-9.453751176006631e-05,-7.796912380077784e-08,-0.0014941141835840342
0.79,-0.0001330053660620271,-2.0493714307236644e-08,-0.0016209880563001094
0.8,-0.00010586081185177437,-6.44947510147287e-08,-0.0016313576879014675
0.81,-0.00011449600849019674,-5.040764409529166e-08,-0.0014116588522712693
0.8200000000000001,-0.0001621454004049487,1.6857086487802924e-08,-0.0015772461419223335
0.8300000000000001,-0.00016916024899906433,2.79212385438262e-08,-0.0014641098622684954
0.84,-0.00017460878333211476,3.589849709581884e-08,-0.0009995213240269322
0.85,-0.00013489764449463418,-3.793646191688963e-09,-0.0009387628219514191
0.86,-0.00015263783739796343,1.286019225241059e-08,-0.000860408034279137
0.87,-0.00016694722726518294,2.517210929797776e-08,-0.0009610375262525772
0.88,-0.00017161556347641848,2.96585569633564e-08,-0.0011935344716138554
0.89,-0.0001428904013822057,-4.625930478481612e-09,-0.0011890757962152913
0.9,-0.00011585735870455534,-3.677028237417852e-08,-0.0012875712469782954
0.91,-9.917807525944815e-05,-5.824606002609999e-08,-0.0011351224285562492
0.92,-0.00010833344001001285,-4.785359569254675e-08,-0.0010188474505631062
0.93,-8.511564540368736e-05,-7.15089947200632e-08,-0.0008306697867513371
0.94,-0.00013515309069292767,-2.994439115203866e-08,-0.00045746387551827487
0.95,-0.00015596374457865544,-2.0424268109301973e-08,9.96347236416849e-06
0.96,-0.00017015987424911182,-2.05657108549564e-08,0.0004693737259002489
0.97,-0.00022676425059920926,-4.713431983578669e-08,0.000509736949652043
0.98,-0.00027100948765617283,-6.968775396320101e-08,4.731162778203363e-05
0.99,-0.00025096569298835574,-6.873944940983019e-08,0.0005602231054901831
1.0,-0.00025478284757682383,-7.087790783123622e-08,0.0006931797644580643
1.01,-0.00026782854662573785,-7.992092387353755e-08,6.19889398157567e-05
1.02,-0.0003014462101879148,-8.200484719950894e-08,-1.2897314465986368e-05
1.03,-0.0002540273292097776,-8.261642341914306e-08,-5.701240159348361e-06
1.04,-0.0002921441004376271,-8.239911055227179e-08,0.00013125981095493176
1.05,-0.00031468499540032805,-8.535782418082291e-08,6.704065958484171e-05
1.06,-0.0003005208169076481,-8.440824831077362e-08,0.0005594128242089601
1.07,-0.0003440733443514393,-1.0877209323103902e-07,0.00041107643856194394
1.08,-0.0003427490130010626,-1.0822769178538523e-07,6.791786545871161e-05
1.09,-0.00039037348243938874,-1.1146224409821346e-07,0.000473959688723817
1.1,-0.00036445916061797994,-9.91798992745568e-08,0.00046475090332308397
1.11,-0.0003413974025872829,-8.846192562590144e-08,0.0005189135172271821
1.12,-0.00033143578782305624,-8.32927086073605e-08,0.0008342012427229873
1.13,-0.00037062649014800393,-1.1598564877360096e-07,0.001178653100583355
1.14,-0.00035298603721232763,-9.519366459703534e-08,0.001266042664304208
1.15,-0.00037776382045191467,-1.2656341206571597e-07,0.001322650697645373
1.16,-0.00036848436451770327,-1.142899260434622e-07,0.0012870506078176379
1.17,-0.0003644195765852857,-1.0905833537568535e-07,0.0013049958111659488
1.18,-0.0003073407499789535,-3.4570663463631776e-08,0.0010145700728753455
1.19,-0.00029059028356759385,-1.75761357048427e-08,0.0012265009572068318
1.2,-0.0003053039785778314,-3.5622505768028495e-08,0.001557131210530725
1.21,-0.00029828275879765397,-2.468953647608139e-08,0.001528844596779297
1.22,-0.00031679078000702003,-5.298544674506505e-08,0.0013133056490260177
1.23,-0.00027196472638025475,5.884896552480796e-09,0.0010428111040902254
1.24,-0.0002466091512878134,3.232598139396948e-08,0.0008620377826039732
1.25,-0.0002293287444119005,4.722234870965163e-08,0.0008277547382204472
1.26,-0.00011403773083029634,1.4265505327219031e-07,0.0009834148770097913
1.27,-0.00016783860473009365,8.974645642694771e-08,0.0011226901146834025
1.28,-0.0001746703867769243,8.207647903480134e-08,0.0013451233677224217
1.29,-0.00017021290670369944,8.807234325867297e-08,0.001762963151162868
1.3,-0.00017938030766255082,7.191053643243701e-08,0.0018651301983137881
1.31,-0.00014918466054198462,1.2822941504034135e-07,0.0026430998075860387
1.32,-0.00014110728788862688,1.495787668616124e-07,0.0024308977402457306
1.33,-0.00013790706607130966,1.5735819416918275e-07,0.0025453170410867105
1.34,-0.0002092088001962362,-2.4127716685419582e-08,0.0026860605070775146
1.35,-0.0002521574783215326,-1.3949074227413605e-07,0.002825139724089502
1.36,-0.00023448773139575689,-8.957110550967787e-08,0.0028116141337017238
1.37,-0.00018156999162517203,5.921355160925775e-08,0.00281332682412664
1.38,-0.00010881646867218327,2.6389352928379506e-07,0.0024619635498487943
1.39,2.2281082793098724e-05,5.866515745733055e-07,0.002115394019443205
1.4,3.2316693429463705e-05,6.078808769612195e-07,0.002008710822559073
1.41,-9.20586181466945e-06,5.244739586819343e-07,0.002146389987575287
1.42,8.762084954037764e-06,5.630402389484136e-07,0.003159246032982224
1.43,2.9557725841037826e-05,6.28739003500324e-07,0.003185745615640518
1.44,-1.858450698144439e-05,4.753695775111086e-07,0.003205319737879753
1.45,-5.344410042892364e-05,3.6363305191604356e-07,0.003146905696683989
1.46,-0.00010228860958786496,2.0992348039561496e-07,0.003077668530886243
1.47,-7.728861005408685e-05,2.868654351655644e-07,0.003303310332379251
1.48,-5.52472239566239e-05,3.596752384315728e-07,0.0030037369531524007
1.49,-4.6312227828404376e-05,3.865136971943173e-07,0.0029975195126272225
1.5,-5.3291040712526126e-05,3.655945067453159e-07,0.0030174426895331996
1.51,-6.284650767725001e-05,3.3676134529921647e-07,0.003387552915965481
1.52,-0.0001420590197514042,6.842374260330599e-08,0.003560956023598836
1.53,-0.00019112662212194658,-1.0630457016434059e-07,0.003437540781063884
1.54,-0.00018576977471300096,-8.789011620548592e-08,0.003495781690330805
1.55,-0.00011134938041730556,1.7226839531626563e-07,0.00325137193335451
1.56,-9.680995175366454e-05,2.1954165218216455e-07,0.003293732706174485
1.57,-9.136604788867628e-05,2.374724812335061e-07,0.0029183766317094524
1.58,-8.576809154251612e-05,2.538094725997905e-07,0.0031648409508543245
1.59,-0.00014636297462895093,6.20356649124135e-08,0.0032572211246967644
1.6,-0.00019306738392398277,-9.009146165727707e-08,0.0033501239083675314
1.61,-0.00024550591300648414,-2.6576768888078494e-07,0.003304313736230233
1.62,-0.00013776155737106832,9.02547611899714e-08,0.00313104204519528
1.63,-0.0001436666273989045,7.176567823417943e-08,0.0034357363663369326
1.64,-9.831855238025169e-05,2.275703217737294e-07,0.0033868331144656515
1.65,-8.750260592615832e-05,2.6420226745278333e-07,0.00383715708963493
1.66,3.0124739598470112e-05,7.155590854950639e-07,0.004231128775092489
1.67,-1.1478218443874162e-05,5.395305621445608e-07,0.003792525355193921
1.68,-3.959572533834291e-05,4.3289369306042633e-07,0.0036706862902932636
1.69,-6.023389000305341e-05,3.5713712472212203e-07,0.0035501721659520025
1.7,-0.00010753364081331749,1.8921416045365485e-07,0.0035091153351796333
1.71,-0.0001273730232942647,1.195951933889234e-07,0.003190001684149634
1.72,-0.00015108050890880672,4.396801782123583e-08,0.00322253401046172
1.73,-0.00022780438410821037,-2.0327813528499484e-07,0.00322441939508607
1.74,-0.00025742615666784954,-2.9879148425697616e-07,0.003562241124134453
1.75,-0.0002503800413619718,-2.7369141637927447e-07,0.0035369220662937128
1.76,-0.00018565987008410906,-4.478025990588447e-08,0.0033069443748870936
1.77,-0.0001646829402700018,2.4589533018732276e-08,0.0033797742079435577
1.78,-0.00014946614110971789,7.601907417265048e-08,0.0035309152209122598
1.79,-0.00015221761868110893,6.630379976117832e-08,0.0033928453493729297
1.8,-4.4551298296637975e-05,4.316003758544178e-07,0.003563568219613113
1.81,-3.029441354210026e-05,4.824059723369596e-07,0.0035667199941932567
1.82,-0.00010171530310773493,2.276665772975415e-07,0.0032627064977451374
1.83,-9.845079843117523e-05,2.3831773571246019e-07,0.002821068846857857
1.84,-0.00013966036771521182,1.2206239520936238e-07,0.002366740214782445
1.85,-9.086872351017896e-05,2.375397573087635e-07,0.0020487227882113345
1.86,-8.893887191217439e-05,2.4149349378708974e-07,0.0019848354309502806
1.87,-0.00014212262361015023,1.359323604441646e-07,0.0021431807765054617
1.88,-0.0001219295518625107,1.792098298933563e-07,0.0028508947492335004
1.89,-5.281759644415129e-05,3.7624127450275307e-07,0.002620103915943017
1.9,2.4143747825020457e-05,5.77888455431097e-07,0.002411173896772753
1.91,-1.0746449466103857e-05,4.937619594390168e-07,0.0022537687375697997
1.92,-5.417358640744234e-05,3.958870701207731e-07,0.0021247628857399524
1.93,-7.1047872793150686e-06,4.958972580871878e-07,0.001826387234635677
1.94,-3.644842456806448e-05,4.423043539354458e-07,0.0020944808706920863
1.95,-0.00012287466111564907,2.6128599006039963e-07,0.001893087073872046
1.96,-0.00010832849204403519,2.8882318759997745e-07,0.0017205856105102259
1.97,-0.0001202832723771428,2.6825394428418675e-07,0.0018061787643249378
1.98,-0.0001272032796643498,2.557551604815387e-07,0.0017621907496747978
1.99,-0.000157891355548345,2.0167686105669206e-07,0.0016260660606986206
2.0,-0.000164236127573569,1.9135983351055103e-07,0.0014423646282704676
2.01,-0.00011557502686811437,2.615469326135941e-07,0.0011105410136829966
2.02,-8.987666706335574e-05,2.9008602689359653e-07,0.0011105860676210277
2.03,-2.0646688007418186e-05,3.6697190870520405e-07,0.0011023870949792788
2.04,-1.1098650790414901e-05,3.7749754597939654e-07,0.001758148129929588
2.05,2.812354839560941e-05,4.464560531822445e-07,0.0017067036451138703
2.06,4.730209069316796e-05,4.791881730105779e-07,0.0017877722496359482
2.07,9.276123496692156e-05,5.604588562192892e-07,0.0021347022500028357
2.08,0.00016436336059485893,7.133083070782601e-07,0.002446557111773167
2.09,0.00023022555710051595,8.744442538369862e-07,0.0024255970354655812
2.1,0.0003838299756235224,1.247027406741357e-06,0.0023993104782797387
2.11,0.0004829344153011714,1.4848101835847968e-06,0.0028822733935574265
2.12,0.0006444755881307897,1.9504172973400676e-06,0.0031463881295008688
2.13,0.0008151317110143464,2.4873694685075988e-06,0.0036202429982428335
2.14,0.0009176176197904476,2.8583949830807567e-06,0.003507408918900328
2.15,0.0010995556919875824,3.4965288169512204e-06,0.0033003026452356962
2.16,0.0012768144209575985,4.0815383930379145e-06,0.0031899620069138148
2.17,0.001485747886583028,4.748030471066896e-06,0.00288931752213515
2.18,0.00164049610539602,5.195148455406693e-06,0.0027856958080267427
2.19,0.0017619616453825792,5.5335153762212504e-06,0.0026203183093828743
2.2,0.0019578398514464184,6.046779800682758e-06,0.0026866139281386467
2.21,0.002151318809614938,6.566584315132024e-06,0.0024749014859148763
2.22,0.002379566891118845,7.131476984552133e-06,0.0024559304806905757
2.23,0.0025505537058699746,7.551409558983637e-06,0.0025167400969663876
2.24,0.0027588490807230327,8.075635987702802e-06,0.002267476056036358
2.25,0.003023379105218068,8.675452512323449e-06,0.00226874736019654
2.26,0.0033672083393527725,9.45551551800931e-06,0.0017730977613941675
2.27,0.0037143692859185474,1.0071066460280578e-05,0.0015013368775759462
2.28,0.004036234428259043,1.0554294831150234e-05,0.0021378459837203085
2.29,0.0043259166592456875,1.1173591768695696e-05,0.002256110797825389
2.3000000000000003,0.004595179880703235,1.1781080460796759e-05,0.0026642086616737244
2.31,0.004852768770816014,1.2467352636708665e-05,0.0025622421324023674
2.32,0.0051422534545644315,1.3209084113271414e-05,0.0022266127109520605
2.33,0.005559861481738452,1.4138936991449367e-05,0.0023055663432975004
2.34,0.005847943898857257,1.4803131293326443e-05,0.0022648521523727814
2.35,0.006144596051247098,1.5475005707978632e-05,0.0021832131273597406
2.36,0.006435907953742156,1.6111002688138454e-05,0.002624751431179977
2.37,0.006797962927739791,1.7061309181627445e-05,0.0026399302470264674
