t,rpm_L_measured,rpm_R_measured,vx_computed,vyaw_computed,vx_variance,vyaw_variance
0.0,0.3656604957053176,-0.5423411758242102,-0.00046254893891063426,-0.015847618781802318,1.9739208802178718e-05,0.0008772981689857211
0.01,-1.2479809274885947,-0.7990532533445236,-0.0053591229534604365,0.007835266017134256,1.9739208802178718e-05,0.0008772981689857211
0.02,0.9005414349677486,0.5208117881401283,0.0037210940365599,-0.006627532604577214,1.9739208802178718e-05,0.0008772981689857211
0.03,1.1286776596694565,0.30222529835400613,0.0037460951841053456,-0.014424314815836423,1.9739208802178718e-05,0.0008772981689857211
0.04,-2.3412422263846038,-1.6857498571323928,-0.01054264062136771,0.011440500065149519,1.9739208802178718e-05,0.0008772981689857211
0.05,-1.5626154082347816,1.3472139054764862,-0.0005639198155313854,0.05078610219530861,1.9739208802178718e-05,0.0008772981689857211
0.06,0.15340848380074243,-0.11303349042099997,0.0001057014854921128,-0.004650289715683261,1.9739208802178718e-05,0.0008772981689857211
0.07,-0.37949111081229864,-1.3331173142588646,-0.00448359837223296,-0.016643917083435874,1.9739208802178718e-05,0.0008772981689857211
0.08,-0.020161389005146555,1.4265409372246487,0.0036818930473711004,0.02524971888897105,1.9739208802178718e-05,0.0008772981689857211
0.09,-1.023652713088296,0.7508106859153847,-0.0007142987567974705,0.030970228768744095,1.9739208802178718e-05,0.0008772981689857211
0.1,1.0552775698353942,-1.517450390337497,-0.0012099656146485668,-0.04490257366313449,1.9739208802178718e-05,0.0008772981689857211
0.11,0.9333503225147379,2.132619408309269,0.00802668998540448,0.020931194164496923,1.9739208802178718e-05,0.0008772981689857211
0.12,0.07923683707345926,0.7905568420394312,0.002277114527033246,0.012414876121958627,1.9739208802178718e-05,0.0008772981689857211
0.13,1.3526894483616394,-0.012235338750055358,0.003509300652691667,-0.02382243157718174,1.9739208802178718e-05,0.0008772981689857211
0.14,0.5610112107024547,1.9082625667461353,0.006464543632445341,0.023513972014920632,1.9739208802178718e-05,0.0008772981689857211
0.15,-1.0311509554598859,0.1911573405955687,-0.0021990981412667275,0.021333304240609304,1.9739208802178718e-05,0.0008772981689857211
0.16,0.4425009408989986,-0.03369969012483837,0.0010702391718420171,-0.008311268911440612,1.9739208802178718e-05,0.0008772981689857211
0.17,-1.1506591209947987,-0.7923601392263868,-0.0050868125280786256,0.006253496938401924,1.9739208802178718e-05,0.0008772981689857211
0.18,1.054140361568727,0.6982205271684943,0.004587670078745779,-0.006211972983437039,1.9739208802178718e-05,0.0008772981689857211
0.19,-0.059911093183503475,0.5719235607887758,0.0013404455056459212,0.011027595040015343,1.9739208802178718e-05,0.0008772981689857211
0.2,-0.22183483625431266,0.017616167867653545,-0.0005346432236078486,0.004179208419134824,1.9739208802178718e-05,0.0008772981689857211
0.21,-0.8171154532847297,-0.9479836246411235,-0.004621018580058315,-0.0022840804762332047,1.9739208802178718e-05,0.0008772981689857211
0.22,1.4670496064088363,0.15591582499928863,0.004248913563618295,-0.022883601419720224,1.9739208802178718e-05,0.0008772981689857211
0.23,-0.18543537848256259,-0.08375854291456546,-0.0007047480382102048,0.0017745955536704286,1.9739208802178718e-05,0.0008772981689857211
0.24,-0.5139933865957287,-1.6001691824810413,-0.0055348646629217535,-0.018957343893668585,1.9739208802178718e-05,0.0008772981689857211
0.25,-0.4225602605858755,-1.7661748215890227,-0.0057300950456790935,-0.023450497967243123,1.9739208802178718e-05,0.0008772981689857211
0.26,0.6387710226640184,0.6781840545717234,0.0034477803297929873,0.0006878871749830329,1.9739208802178718e-05,0.0008772981689857211
0.27,0.438532877236894,-3.1222659780620265,-0.0070259968281233265,-0.0621476640262113,1.9739208802178718e-05,0.0008772981689857211
0.28,0.4952791339151861,0.24649263235351196,0.001941953942958389,-0.0043421435867692275,1.9739208802178718e-05,0.0008772981689857211
0.29,0.5169852036094592,-0.5736996693045894,-0.00014847812398340954,-0.01903604213404607,1.9739208802178718e-05,0.0008772981689857211
0.3,2.5699771210445532,1.5698959282558922,0.010838162298730546,-0.017454709601434307,1.9739208802178718e-05,0.0008772981689857211
0.31,-0.4876980196615387,-0.5921618509846509,-0.0028270665304404117,-0.0018232378058362928,1.9739208802178718e-05,0.0008772981689857211
0.32,-0.6146912748858447,0.7913810571022751,0.000462572768146265,0.02454059171438748,1.9739208802178718e-05,0.0008772981689857211
