t,X,Y,yaw,vx,vyaw,bias
1.0,-0.0002492271925488773,3.118617660469172e-08,0.00025490420306517034,-0.0002487258379756088,0.007624501320651898,0.006250665357476222
1.01,-0.0002524377382038649,1.3903666462780322e-07,-0.00013936268326731726,-0.001232235458379455,-0.00850760127577649,0.006755851645595573
1.02,-0.00026621901191433475,1.3978667690567102e-07,-0.00021818819185741585,-0.003215874496789626,-0.00818846718607389,0.006750854012721625
1.02,-0.00026621900104186244,1.5998125588143716e-07,-0.0002576684174321432,-0.003215874496789626,-0.002888949267248154,0.006841205926308533
1.03,-0.0002929259710132412,1.6049666421061864e-07,-0.000262490161889636,0.004196710364028324,-0.002066365228936085,0.006815861904015289
1.04,-0.0002564453374655913,1.3468399293775395e-07,-0.00018626634053461695,-0.0032630311319156325,0.00286968546775721,0.006739824572811939
1.04,-0.0002564453381284033,1.3346214588433845e-07,-0.00018377541764754937,-0.0032630311319156325,0.002537234063315366,0.006734250456074003
1.05,-0.00028838442624634354,1.5450923426828122e-07,-0.00021831924394902615,-0.0023232110178299675,0.000495677328524007,0.006796152872410313
1.06,-0.00030905458620872757,9.709416830045483e-08,8.683290080101441e-05,0.0011602199111534518,0.015757357646711302,0.006564826871140534
1.06,-0.000309054620695879,2.6290033914954024e-08,0.00021102015211503408,0.0011602199111534518,-0.0007262094889197747,0.00629295240429426
1.07,-0.0003012310006070742,5.2396416679068036e-08,0.00010916491331681927,-0.003977394295109464,-0.003939835755453747,0.0063888714702854095
1.08,-0.00033818932705942015,8.994848601440943e-08,-0.00011767584260359218,-0.00014912669997206064,-0.013449900369307445,0.006530743039516238
1.08,-0.0003381892984721981,1.544291049696288e-07,-0.00022345372003767605,-0.00014912669997206064,0.0005158760054321185,0.006757400550591514
1.09,-0.0003428411351645437,7.746442705740481e-08,5.118428605888715e-05,-0.004446393358902428,0.009644864285551684,0.00648911041913904
1.1,-0.0003824835241065029,9.163156360388368e-08,8.231364533685115e-05,0.0021092786146453,0.006337335202119392,0.006537685859154053
1.1,-0.0003824835302421236,7.563737282902903e-08,0.00010583133596502903,0.0021092786146453,0.0032481374125397718,0.006488339710086037
