t,vyaw_measured,vyaw_variance
0.0,0.008025636082362798,6.4e-05
0.02,0.013161747217809442,6.4e-05
0.04,0.008186570052294994,6.4e-05
0.06,0.02391065333131539,6.4e-05
0.08,0.017438299619763346,6.4e-05
0.1,0.0035397778822638753,6.4e-05
0.12,0.003455780529543446,6.4e-05
0.14,0.009757573755882825,6.4e-05
0.16,-0.0007041534434054806,6.4e-05
0.18,0.015330306452259895,6.4e-05
0.2,0.00889280417474867,6.4e-05
0.22,0.008051671286868262,6.4e-05
0.24,0.011495629342166531,6.4e-05
0.26,0.019782639066952473,6.4e-05
0.28,0.007367642817500041,6.4e-05
0.3,0.005095677033028925,6.4e-05
0.32,0.01806975698658063,6.4e-05
0.34,0.013740403327929083,6.4e-05
0.36,0.003432161276930222,6.4e-05
0.38,0.006041491589272161,6.4e-05
0.4,0.007563047327510388,6.4e-05
0.42,0.008894503556839864,6.4e-05
0.44,-0.004852798807512911,6.4e-05
0.46,-0.006339876862412481,6.4e-05
0.48,-0.0010991201760196297,6.4e-05
0.5,-0.001717907544090738,6.4e-05
0.52,0.0008494078882199793,6.4e-05
0.54,0.011077685136720035,6.4e-05
0.56,0.004648566749402093,6.4e-05
0.58,0.007571156840081506,6.4e-05
0.6,-0.0037944272803380925,6.4e-05
0.62,0.002306862376632439,6.4e-05
0.64,0.010698061293958724,6.4e-05
0.66,0.010759619665414414,6.4e-05
0.68,0.00020340937449673645,6.4e-05
0.7000000000000001,0.007293299091036429,6.4e-05
0.72,0.023590782827858654,6.4e-05
0.74,0.005859216565954895,6.4e-05
0.76,0.0004545044308604373,6.4e-05
0.78,0.004609900885102719,6.4e-05
0.8,0.006737416860214665,6.4e-05
0.8200000000000001,0.004790652954475605,6.4e-05
0.84,0.005749162394587986,6.4e-05
0.86,-0.0055475743754947165,6.4e-05
0.88,-0.0017010438006876101,6.4e-05
0.9,0.00480531810342802,6.4e-05
0.92,0.0046778562398205065,6.4e-05
0.9400000000000001,0.0014704858011199955,6.4e-05
0.96,0.004583891311388505,6.4e-05
0.98,0.006488118843313643,6.4e-05
1.0,0.013115307652196203,6.4e-05
1.02,0.005206306118191593,6.4e-05
1.04,0.009192825642386026,6.4e-05
1.06,0.0016671975885286317,6.4e-05
1.08,0.010576765788787856,6.4e-05
1.1,0.009005842380898854,6.4e-05
1.12,0.012926536025438556,6.4e-05
1.1400000000000001,0.011707683699555903,6.4e-05
1.16,0.01070988498304917,6.4e-05
1.18,0.005212660730737758,6.4e-05
1.2,0.007959513816355745,6.4e-05
1.22,0.014508071427612212,6.4e-05
1.24,0.0007834034447776446,6.4e-05
1.26,0.0009727377704250749,6.4e-05
1.28,0.007451451183602896,6.4e-05
1.3,0.009322237522123628,6.4e-05
1.32,-0.0005928519941120359,6.4e-05
1.34,0.0054018994926935335,6.4e-05
1.36,0.005248009806169722,6.4e-05
1.3800000000000001,-0.011722240924827767,6.4e-05
1.4000000000000001,0.004243248085929923,6.4e-05
1.42,0.0047414573372122695,6.4e-05
1.44,0.004717656457415847,6.4e-05
1.46,0.017327314196618145,6.4e-05
1.48,-0.0037263863880710024,6.4e-05
1.5,-0.0005969805696369014,6.4e-05
1.52,-0.014897566386554673,6.4e-05
1.54,0.0021526666706068744,6.4e-05
1.56,0.0028348515669919926,6.4e-05
1.58,0.0019201825893259503,6.4e-05
1.6,0.01486141871587008,6.4e-05
1.62,0.012884940178695705,6.4e-05
1.6400000000000001,0.0066228537941384336,6.4e-05
1.6600000000000001,0.003035095571681102,6.4e-05
1.68,0.014209517344854912,6.4e-05
1.7,0.005841937121313187,6.4e-05
1.72,-0.0005461603113476625,6.4e-05
1.74,-0.007729989419876413,6.4e-05
1.76,0.0024694840488345385,6.4e-05
1.78,0.012037148937380868,6.4e-05
1.8,0.02421230951634472,6.4e-05
1.82,0.006492882769515807,6.4e-05
1.84,-0.00012284412096243407,6.4e-05
1.86,-0.0034797216662737114,6.4e-05
1.8800000000000001,0.010415639170444791,6.4e-05
1.9000000000000001,-0.008116928419074148,6.4e-05
1.92,0.010402760811239106,6.4e-05
1.94,0.012541692850103299,6.4e-05
1.96,0.009490235625862913,6.4e-05
1.98,0.004242706624491541,6.4e-05
2.0,0.010519525228374516,6.4e-05
2.02,0.0073675069690264,6.4e-05
2.04,-0.00022499073488473423,6.4e-05
2.06,0.020803298579000207,6.4e-05
2.08,0.0031865649631158694,6.4e-05
2.1,0.012206018403599275,6.4e-05
2.12,-0.013348914261565719,6.4e-05
2.14,0.01621176706224743,6.4e-05
2.16,0.017750109957236655,6.4e-05
2.18,0.006238670297013106,6.4e-05
2.2,0.010470168277902068,6.4e-05
2.22,0.010468121452860503,6.4e-05
2.24,0.0008577314428742057,6.4e-05
2.2600000000000002,0.010376978443514723,6.4e-05
2.2800000000000002,-0.0004690437589804433,6.4e-05
2.3000000000000003,0.001129944610837391,6.4e-05
