t,X,Y,yaw,P_yaw
0.0,0.0,0.0,0.0,1e-06
0.0,0.0,0.0,0.0,9.97506234413965e-07
0.01,-5.3591229534604e-05,0.0,7.835266017134202e-05,0.00010099750623441398
0.02,-1.6380289283226574e-05,2.9155761621386637e-09,1.2077334125570012e-05,0.000200997506234414
0.02,-1.6380289406284252e-05,4.4637977408818305e-09,9.60744436051875e-05,0.0001337759336099585
0.03,2.1080662261880855e-05,8.062837840395018e-09,-4.816870455317648e-05,0.0002337759336099585
0.04,-8.434574382948972e-05,1.3141091251441013e-08,6.623629609831855e-05,0.0003337759336099585
0.04,-8.434574474615321e-05,4.7006526914486055e-09,0.00023032318348802143,0.0001819497851164895
0.05,-8.998494275188995e-05,3.4018146314807637e-09,0.0007381842054411075,0.0002819497851164895
0.06,-8.892792818496106e-05,4.182086231436328e-09,0.0006916813082842755,0.0003819497851164894
0.06,-8.892792845802896e-05,1.427917324135895e-09,0.0007959662079031112,0.0001953832803008389
0.07,-0.00013376389797716643,-3.4260006848511714e-08,0.0006295270370687531,0.000295383280300839
0.08,-9.694497479920526e-05,-1.1081496170313293e-08,0.000882024225958463,0.00039538328030083893
0.08,-9.694497497938462e-05,-1.2505144300305162e-08,0.001066905426251362,0.00019883912075762647
0.09,-0.00010408795848197339,-2.0126035050428727e-08,0.001376607713938802,0.0002988391207576264
0.1,-0.00011618760316374079,-3.6782509776880466e-08,0.0009275819773074574,0.0003988391207576265
0.1,-0.00011618760003198871,-4.004756581767729e-08,0.0011258728924206638,0.00019970935843971374
0.11,-3.592075105068994e-05,5.032274179455256e-08,0.0013351848340656326,0.0002997093584397137
0.12,-1.3149626077626373e-05,8.072642058026965e-08,0.0014593335952852186,0.0003997093584397136
0.12,-1.3149624112118022e-05,7.912440579709792e-08,0.0014266069822601933,0.0001999273132026732
0.13,2.194334670402934e-05,1.2918831695515373e-07,0.0011883826664883762,0.0002999273132026733
0.14,8.658873738062038e-05,2.0601181486833492e-07,0.0014235223866375824,0.0003999273132026734
0.14,8.658872805922278e-05,2.134990025901152e-07,0.0015062576986351994,0.00019998182664946506
0.15,6.459777159325517e-05,1.8037493006212895e-07,0.001719590741041292,0.00029998182664946486
0.16,7.530014748823404e-05,1.987786546981725e-07,0.0016364780519268858,0.00039998182664946496
0.16,7.530014913693825e-05,1.9747753039662842e-07,0.0016057022145749833,0.00019999545655915432
0.17,2.4432089432263006e-05,1.1579850408056438e-07,0.0016682371839590023,0.0002999954565591544
0.18,7.030872638195458e-05,1.9233168671271332e-07,0.0016061174541246324,0.00039999545655915425
0.18,7.030872041294722e-05,1.964783045601923e-07,0.0017438234989566198,0.00019999886413333764
0.19,8.371315508847101e-05,2.1985329643143426e-07,0.0018540994493567728,0.00029999886413333774
0.2,7.83667320420647e-05,2.0994048504602112e-07,0.0018958915335481209,0.00039999886413333784
0.2,7.836672992268954e-05,2.1139137540199956e-07,0.001977639246430363,0.0001999997160329313
0.21,3.2156634487412244e-05,1.200043579479271e-07,0.001954798441668031,0.0002999997160329311
0.22,7.464568894309265e-05,2.0306200118017794e-07,0.0017259624274708286,0.0003999997160329312
0.22,7.464568163435198e-05,2.074221173852739e-07,0.0019731914345726726,0.0001999999290082076
0.23,6.759821497187312e-05,1.9351609848380675e-07,0.0019909373901093766,0.00029999992900820767
0.24,1.2249678038979777e-05,8.332048121726119e-08,0.0018013639511726919,0.0003999999290082075
0.24,1.2249702316398798e-05,7.156856933917046e-08,0.002125848548806768,0.00019999998225205028
0.25,-4.5051118662294034e-05,-5.0244481284356327e-08,0.0018913435691343366,0.0002999999822520504
0.26,-1.0573377031009381e-05,1.4964851383451978e-08,0.0018982224408841666,0.0003999999822520505
0.26,-1.0573353617116636e-05,5.060398163571386e-09,0.002372104202613676,0.00019999999556301253
0.27,-8.083312422629526e-05,-1.6160341157224543e-07,0.0017506275623515627,0.00029999999556301263
0.28,-6.141361455420542e-05,-1.276070479634088e-07,0.0017072061264838706,0.00039999999556301273
0.28,-6.141356147615638e-05,-1.4755213348031096e-07,0.002350272480534969,0.00019999999889075317
0.29,-6.289833861518927e-05,-1.5104177075524012e-07,0.00215991205919451,0.0002999999988907527
0.3,4.5483031560150934e-05,8.305282171288086e-08,0.0019853649631801666,0.0003999999988907528
0.3,4.54829579986834e-05,1.191440528533654e-07,0.0025403086720105403,0.0001999999997226882
0.31,1.7212383911908774e-05,4.7327913857408625e-08,0.0025220762939521784,0.00029999999972268827
0.32,2.183809688155506e-05,5.8994339616992475e-08,0.0027674822110960525,0.00039999999972268837
0.32,2.183808340145936e-05,6.652413170759821e-08,0.0031120648664843056,0.0001999999999306721
0.33,-1.619657274092903e-05,-5.184256750728533e-08,0.0031993715876186056,0.0002999999999306722
0.34,6.7283778496902576e-06,2.1503118315028913e-08,0.0030941845165936605,0.0003999999999306723
0.34,6.7283729471807865e-06,2.4403448608057392e-08,0.003412820052604233,0.0001999999999826681
0.35,6.534414452012558e-05,2.244493058990949e-07,0.0033306913307053435,0.00029999999998266765
0.36,4.723286361793019e-05,1.6412599654437906e-07,0.0032576789877441785,0.00039999999998266775
0.36,4.723284667451934e-05,1.696249394911175e-07,0.003528888900970531,0.00019999999999566694
